start_dates,end_dates,changes,errors,glacier_area_reference,glacier_area_observed
2011.6657534246576,2011.74794520548,0.0164,0.1443,49303.4,48491.1
2011.74794520548,2011.8328767123287,0.0667,0.0673,49303.4,48379.5
2011.8328767123287,2011.9150684931508,0.072,0.1205,49303.4,48379.5
2011.9150684931508,2012.0,0.0293,0.0407,49303.4,48379.5
2012.0,2012.084699453552,0.0301,0.0418,49303.4,48379.5
2012.084699453552,2012.1639344262296,0.054,0.0591,49303.4,48379.5
2012.1639344262296,2012.2486338797808,0.0723,0.0889,49303.4,48379.5
2012.2486338797808,2012.330601092896,0.0695,0.0549,49303.4,48379.5
2012.330601092896,2012.415300546448,0.0756,0.0655,49303.4,48379.5
2012.415300546448,2012.4972677595629,-0.0412,0.1688,49303.4,48379.5
2012.4972677595629,2012.5819672131147,-0.2911,0.2237,49303.4,48379.5
2012.5819672131147,2012.6666666666667,-0.445,0.2452,49303.4,48379.5
2012.6666666666667,2012.7486338797808,-0.0648,0.1566,49303.4,48379.5
2012.7486338797808,2012.8333333333333,0.0467,0.0676,49303.4,48177.8
2012.8333333333333,2012.915300546448,0.036,0.0427,49303.4,48177.8
2012.915300546448,2013.0,0.0386,0.051,49303.4,48177.8
2013.0,2013.0849315068488,0.0327,0.0429,49303.4,48177.8
2013.0849315068488,2013.1616438356164,0.0479,0.0491,49303.4,48177.8
2013.1616438356164,2013.2465753424656,0.0509,0.0713,49303.4,48177.8
2013.2465753424656,2013.328767123288,0.0703,0.0572,49303.4,48177.8
2013.328767123288,2013.4136986301369,0.0994,0.073,49303.4,48177.8
2013.4136986301369,2013.495890410959,0.0526,0.1509,49303.4,48177.8
2013.495890410959,2013.580821917808,-0.2396,0.1735,49303.4,48177.8
2013.580821917808,2013.6657534246576,-0.4062,0.1935,49303.4,48177.8
2013.6657534246576,2013.74794520548,0.0221,0.2175,49303.4,48177.8
2013.74794520548,2013.8328767123287,0.0316,0.0689,49303.4,48000.8
2013.8328767123287,2013.9150684931508,0.0299,0.0257,49303.4,48000.8
2013.9150684931508,2014.0,0.0289,0.0494,49303.4,48000.8
2014.0,2014.0849315068488,0.036,0.0644,49303.4,48000.8
2014.0849315068488,2014.1616438356164,0.0428,0.0461,49303.4,48000.8
2014.1616438356164,2014.2465753424656,0.0562,0.0645,49303.4,48000.8
2014.2465753424656,2014.328767123288,0.0768,0.076,49303.4,48000.8
2014.328767123288,2014.4136986301369,0.0818,0.0664,49303.4,48000.8
2014.4136986301369,2014.495890410959,-0.0247,0.189,49303.4,48000.8
2014.495890410959,2014.580821917808,-0.3126,0.1942,49303.4,48000.8
